Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
American Psycho (2000),7.6,Awards,8 wins & 13 nominations,Mary Harron,"$34,266,564",R,1.3K,324,535K
The Thing (1982),8.1,Awards,3 nominations,John Carpenter,"$19,632,053",R,1.2K,374,398K
Jaws (1975),8.0,Won 3 Oscars,15 wins & 20 nominations total,Steven Spielberg,"$471,411,300",PG,1.3K,283,569K
Heat (1995),8.2,Awards,14 nominations,Michael Mann,"$187,436,818",R,1.2K,225,615K
Top Gun (1986),6.9,Won 1 Oscar,11 wins & 5 nominations total,Tony Scott,"$357,288,178",PG,557,208,314K
Pulp Fiction (1994),8.9,Won 1 Oscar,70 wins & 75 nominations total,Quentin Tarantino,"$213,928,762",R,3.3K,302,1.9M
The Lost Boys (1987),7.3,Awards,3 wins & 5 nominations,Joel Schumacher,"$32,388,898",R,459,166,134K
Ed Wood (1994),7.8,Won 2 Oscars,27 wins & 34 nominations total,Tim Burton,"$5,887,725",R,478,106,172K
The Game (1997),7.7,Awards,1 nomination,David Fincher,"$109,423,648",R,761,181,373K
Some Like It Hot (1959),8.2,Won 1 Oscar,15 wins & 15 nominations total,Billy Wilder,"$195,088",Passed,467,231,256K
Alien (1979),8.4,Won 1 Oscar,18 wins & 22 nominations total,Ridley Scott,"$106,285,522",R,1.6K,316,832K
The Truman Show (1998),8.1,Nominated for 3 Oscars,40 wins & 69 nominations total,Peter Weir,"$264,118,201",PG,1.3K,253,1M
The Evil Dead (1981),7.5,Awards,3 wins & 1 nomination,Sam Raimi,"$2,895,379",NC-17,935,378,198K
The Blue Max (1966),7.1,Awards,1 win & 5 nominations total,John Guillermin,"$5,000,000 (estimated)",Approved,102,40,6.7K
Cars (2006),7.1,Nominated for 2 Oscars,28 wins & 34 nominations total,John Lasseter,"Jun 11, 2006",G,718,260,392K
Mad Max: Fury Road (2015),8.1,Won 6 Oscars,245 wins & 231 nominations total,George Miller,"$375,658,750",R,2.1K,843,939K
Lost in Translation (2003),7.7,Won 1 Oscar,97 wins & 132 nominations total,Sofia Coppola,"$118,686,937",R,2K,290,436K
50/50 (2011),7.6,Awards,12 wins & 28 nominations,Jonathan Levine,"$41,097,853",R,460,342,324K
Star Wars (1977),8.6,Won 7 Oscars,63 wins & 29 nominations total,George Lucas,"May 30, 1977",PG,2K,206,1.3M
Wonder Woman (2017),7.4,Awards,29 wins & 72 nominations,Patty Jenkins,"$822,824,522",PG-13,2.4K,725,618K
Whiplash (2014),8.5,Won 3 Oscars,98 wins & 145 nominations total,Damien Chazelle,"$49,396,747",R,1.4K,592,775K
The Irishman (2019),7.8,Nominated for 10 Oscars,73 wins & 350 nominations total,Martin Scorsese,"$968,853",R,2.8K,449,357K
The Goonies (1985),7.8,Awards,3 wins & 6 nominations,Richard Donner,"$63,980,721",PG,549,117,259K
The Lion King (1994),8.5,Won 2 Oscars,39 wins & 35 nominations total,Roger Allers,"$1,063,611,805",G,1.1K,230,993K
12 Angry Men (1957),9.0,Nominated for 3 Oscars,17 wins & 13 nominations total,Sidney Lumet,$955,Approved,1.8K,160,738K
Ernest et Célestine (2012),7.9,Nominated for 1 Oscar,14 wins & 15 nominations total,Stéphane Aubier,"$8,111,137",PG,61,108,20K
Boyz n the Hood (1991),7.8,Nominated for 2 Oscars,12 wins & 23 nominations total,John Singleton,"$57,529,070",R,258,84,134K
Ferris Bueller's Day Off (1986),7.8,Awards,2 wins & 1 nomination,John Hughes,"$70,720,215",PG-13,634,152,339K
The Bling Ring (2013),5.6,Awards,4 wins & 7 nominations,Sofia Coppola,"$20,045,576",R,212,350,86K
Life (2017),6.6,Awards,8 nominations,Daniel Espinosa,"$100,541,806",R,1.1K,405,219K
Zui quan (1978),7.5,Awards,8 nominations,Daniel Espinosa,Tráfico de arte,R,1.1K,405,219K
The Fly (1986),7.6,Won 1 Oscar,7 wins & 10 nominations total,David Cronenberg,"$60,629,159",R,399,196,171K
Batman Begins (2005),8.2,Nominated for 1 Oscar,13 wins & 79 nominations total,Christopher Nolan,"$373,661,946",PG-13,3K,331,1.4M
Point Blank (1967),7.3,Awards,1 win,John Boorman,"$2,500,000 (estimated)",Not Rated,168,109,20K
Memento (2000),8.4,Nominated for 2 Oscars,57 wins & 59 nominations total,Christopher Nolan,"$40,047,078",R,2.4K,233,1.2M
Predator (1987),7.8,Nominated for 1 Oscar,3 wins & 6 nominations total,John McTiernan,"$98,268,458",R,873,277,391K
Police Academy (1984),6.7,Awards,1 nomination,Hugh Wilson,"$81,198,894",R,194,67,121K
Per un pugno di dollari (1964),8.0,Awards,1 win & 4 nominations,Sergio Leone,"$14,516,248",R,330,122,209K
Atomic Blonde (2017),6.7,Awards,10 wins & 18 nominations,David Leitch,"$100,014,025",R,798,465,186K
Zootopia (2016),8.0,Won 1 Oscar,47 wins & 72 nominations total,Byron Howard,"$1,024,121,104",PG,793,486,464K
Ace Ventura: Pet Detective (1994),6.9,Awards,5 wins & 5 nominations,Tom Shadyac,"$107,217,396",PG-13,335,83,289K
Taxi Driver (1976),8.2,Nominated for 4 Oscars,22 wins & 20 nominations total,Martin Scorsese,"$28,570,902",R,1.2K,307,770K
Radio Days (1987),7.5,Nominated for 2 Oscars,3 wins & 11 nominations total,Woody Allen,"Feb 1, 1987",PG,113,64,33K
Jagten (2012),8.3,Nominated for 1 Oscar,38 wins & 73 nominations total,Thomas Vinterberg,"$15,843,274",R,512,383,308K
Metropolis (1927),8.3,Awards,6 wins & 6 nominations,Fritz Lang,"$1,349,711",Not Rated,522,220,168K
The Rocky Horror Picture Show (1975),7.4,Awards,4 wins & 5 nominations,Jim Sharman,"$112,892,319",R,599,121,144K
Inside Out (2015),8.1,Won 1 Oscar,100 wins & 116 nominations total,Pete Docter,"$858,848,019",PG,1.1K,599,662K
Star Wars: Episode V - The Empire Strikes Back (1980),8.7,Won 2 Oscars,25 wins & 20 nominations total,Irvin Kershner,"May 25, 1980",PG,1.3K,238,1.2M
Shichinin no samurai (1954),8.6,Nominated for 2 Oscars,5 wins & 8 nominations total,Akira Kurosawa,"$346,258",Not Rated,779,124,332K
World War Z (2013),7.0,Awards,3 wins & 25 nominations,Marc Forster,"$540,455,876",PG-13,1.2K,668,632K
Kill Bill: Vol. 1 (2003),8.1,Awards,29 wins & 103 nominations total,Quentin Tarantino,"$180,906,076",R,2.3K,341,1.1M
The Gunfighter (1950),7.7,Nominated for 1 Oscar,2 nominations total,Henry King,Revolveraš,Not Rated,95,58,11K
La vita è bella (1997),8.6,Won 3 Oscars,72 wins & 52 nominations total,Roberto Benigni,"$230,098,753",PG-13,1.4K,160,659K
Shao Lin san shi liu fang (1978),7.7,Won 3 Oscars,72 wins & 52 nominations total,Roberto Benigni,Shaolin Master Killer,PG-13,1.4K,160,659K
The Shawshank Redemption (1994),9.3,Nominated for 7 Oscars,21 wins & 43 nominations total,Frank Darabont,"$28,817,291",R,9.6K,193,2.5M
[Rec] (2007),7.4,Awards,16 wins & 12 nominations,Jaume Balagueró,"$32,511,655",R,481,295,173K
Vertigo (1958),8.3,Nominated for 2 Oscars,8 wins & 7 nominations total,Alfred Hitchcock,"Mar 18, 2018",PG,978,197,386K
The Enemy Below (1957),7.5,Won 1 Oscar,3 wins & 3 nominations total,Dick Powell,"$1,910,000 (estimated)",Approved,113,28,11K
The Blue Max (1966),7.1,Awards,1 win & 5 nominations total,John Guillermin,"$5,000,000 (estimated)",Approved,102,40,6.7K
Spider-Man: Into the Spider-Verse (2018),8.4,Won 1 Oscar,81 wins & 58 nominations total,Bob Persichetti,"$375,540,831",PG,2K,414,439K
